Designator,Mid X,Mid Y,Rotation,Layer
C1,114.15,-114.1,270.0,top
C10,154.9,-98.175,180.0,top
C11,140.0,-105.59,90.0,top
C12,150.5,-104.375,0.0,top
C13,150.5,-111.175,180.0,top
C14,162.7,-96.375,90.0,top
C15,112.95,-111.52,90.0,top
C16,112.95,-114.1,270.0,top
C17,145.4,-95.7,0.0,top
C2,114.15,-111.52,90.0,top
C3,127.975,-92.59,0.0,top
C4,127.975,-106.99,0.0,top
C5,139.375,-91.79,180.0,top
C6,139.375,-93.59,0.0,top
C7,162.7,-93.775,90.0,top
C8,155.3,-90.8,180.0,top
C9,140.175,-102.2,270.0,top
D1,164.8,-117.99,90.0,top
D2,131.5875,-115.3,0.0,top
D3,147.2,-108.2,180.0,top
D4,143.7,-92.6,180.0,top
D5,143.7,-108.2,180.0,top
D6,147.2,-92.6,180.0,top
J2,131.51,-119.99,0.0,top
K2,151.85375,-118.0,180.0,top
Q1,154.3625,-101.175,0.0,top
Q2,159.7,-101.175,180.0,top
Q3,160.0,-108.725,180.0,top
R1,125.0,-110.325,270.0,top
R10,131.175,-99.79,0.0,top
R11,131.175,-102.19,180.0,top
R12,140.375,-89.39,270.0,top
R13,140.375,-96.565,90.0,top
R14,138.375,-89.39,270.0,top
R15,138.425,-96.565,270.0,top
R16,151.3,-98.175,180.0,top
R17,150.5,-101.175,90.0,top
R18,159.9,-106.1,180.0,top
R19,139.175,-108.39,0.0,top
R2,125.0,-95.9,270.0,top
R20,128.4,-110.325,270.0,top
R21,154.9,-103.975,0.0,top
R22,162.7,-100.375,90.0,top
R23,134.775,-115.3,180.0,top
R24,147.2,-106.54,180.0,top
R25,143.7,-94.3,180.0,top
R26,143.7,-106.54,180.0,top
R27,147.2,-94.3,180.0,top
R28,128.4,-113.475,90.0,top
R29,128.4,-99.1,90.0,top
R3,126.7,-110.325,90.0,top
R30,128.4,-95.9,270.0,top
R4,126.7,-95.9,90.0,top
R5,127.375,-105.59,0.0,top
R6,127.375,-91.19,0.0,top
R7,137.7,-105.39,90.0,top
R8,134.775,-102.19,180.0,top
R9,134.775,-99.79,0.0,top
RV1,120.6,-104.5,90.0,top
RV2,120.6,-97.5,90.0,top
U1,132.975,-108.19,0.0,top
U2,132.975,-93.79,0.0,top
U3,138.175,-100.99,270.0,top
U4,145.4,-101.0,0.0,top
U5,159.9,-93.175,180.0,top
U6,153.3,-94.175,270.0,top
U7,153.3,-107.775,90.0,top
U8,159.9,-96.975,180.0,top
U9,119.35,-111.6,180.0,top
